user;calldate
simcha;Tue Jul 16 13:36:15 2019
simcha;Tue Jul 16 13:36:24 2019
simcha;Tue Jul 16 13:36:25 2019
simcha;Tue Jul 16 13:36:42 2019
simcha;Tue Jul 16 13:36:48 2019
simcha;Tue Jul 16 13:36:49 2019
simcha;Tue Jul 16 13:36:49 2019
simcha;Tue Jul 16 13:36:50 2019
simcha;Tue Jul 16 13:36:51 2019
david;Tue Jul 16 13:37:01 2019
test;Tue Jul 16 15:00:20 2019
simcha;Tue Jul 16 15:20:10 2019
simcha;Tue Jul 16 15:41:01 2019
simcha;Tue Jul 16 15:41:13 2019
simcha;Wed Jul 17 17:27:41 2019
simcha;Wed Jul 17 17:34:53 2019
simcha;Wed Jul 17 17:46:57 2019
simcha;Wed Jul 17 17:47:13 2019
simcha;Wed Jul 17 17:48:19 2019
simcha;Wed Jul 17 17:49:07 2019
simcha;Wed Jul 17 17:49:29 2019
simcha;Wed Jul 17 17:51:11 2019
simcha;Wed Jul 17 18:24:33 2019
simcha3;Wed Jul 17 18:24:38 2019
